PUI1IO LUOí ltN R'IJCttItKYNIN,"ilmaynalla Khunpachaykuna!
Huch ' uy pumachan kani, wiñay Qosqoq sonqon hatún lIank' ayninpa eqeqon. .
Llank ' ashaykun, ñaupaq kausayninchiskunata qhawarispayku, hinallataq ñaupaqman puririchinanch
rayku. Kusisqan kashani Qosqoq ñaupa kausayninta willakuq hamusqay rayku; kay willakuyqa alli
chaninmi noqanchispaq

Kay Qheswapin ñaupaq askha watakunamantaraq wiñariran tayta inkanchiskunaq hatun kausayninkl
yachayninku, ruwayninku ima. Ichaqa karanmi hoq allin yachayniyuq lIaqta kamachikuq, sutintaq karé
""Pachakutiq"", paymi allinta yuyaymanaspa kamachikuran, t' urumanta pumachaman rijch' akuq1
huch ' uy lIaqta paqarichikunanpaq; pumaman rijch' akuqta hina hatun willka Qosqonchis sayarinanpa(
Tawantin Suyu lIaqtakunaq rantin sayaq. Pumaman rijch' akuqta hinan paqarichiranku, kay wawankur
pumaq churin hina kausaranku, pumaq allin munakuyniyuq, kallpawan auqaq, alHn yuyaynlyuc
nunayuq ima kasqan rayku, kay hatun Ilaqtatan suticharanku ""Qosqo"" nispa, kanchanku, usnunkl
k' ijllunku, wasinkupas munaycha kasqan rayku.

Qosqopi Inkakuna kausaranku tayta intita samincha-s~ita rimaranku (mama rimayninchi:
raymiehakuyninkutaqmi karan ""Inti Raymi"" (Tayta Intiq Raymin) ""Killa Raymi"" (Killaq Raymin) ""SituV\
Raymi"" (Llaqta eh ' uyanehay Raymi, runaq Kurkun nunanpa ima eh' uyanehaynin raymi). .
Llapankun lIank' aranku ayniwan yanapanakuska, patq-patakunapi tarpuranku 'sarata~ papat¡
lIamakunatapas uywaranku; mayukunan eh' uva karan, wayrapas eh ' uyallataq karan, mihuranku, alli
ruruykunata, kausarankutaq allin qhali kallpayuq.

Qonqayllamanta Español Runakuna chayaramuqtinku, musoq kausay, nisqan ' apamuspanku,
noqanchisman wañuy kallpanwan, churawaranchis, hinaspataq lIaqtaq kasusayninta mana chaninman
t' ijrapunku hinaspapas Iglesia sutichasqankuta, hatun kanchayuq wasikunata ima sayarichinku, ñaupaq
taytanchiskunaq imaymana hatun yachayninkunataq manaña yachachiktJqtin chinkapushan.
Quepa hamuq watakunapitaq República sutichasqa kausay ujupi, San Cristóbal Ayllu (ñaupaq Qolqanpata),
Santa Ana Ayllu (ñaupaq Karmenqa), San Bias Ayllu (ñaupaq T' oqo Kachi) astawan wiñayta qallaripunku,
wakin Qosqorunakunataq hatun munay wasikunata sayarichipunku. Ñaupaq pumaman rijch' akuq
lIaqtanchistaq hoq kausaykunawan chaqrukuspa, hoq niraq lIaqtaman t' irakapun, mañanan hoq lIaqtakuna
hinañachu.
Chay rayku, khunpachaykuna tukuy ñaupaq rimayninchiskunata amachananchis chanintataq kausachi!1an~hisl
ñaupaq taytanchiskunaq kaqninkuna, munay kausayninkuna kasqan rayku. Kaykunan kanku: Tayta Inkakunac
munay lIank' ayninkuna, Colonia, Republica kausayninchis ujupi, hatun wasikuna ruwakusqanku, lIaqtakunaq
raymichakuynin, hatun iñiyninkuna ima.

Chay rayku, Qosqoq Sonqon Ñaupaq Kausayninpa Atún L1ank' aynin, lIank' an kauisayninchiskuna~
pukaranchiskunaq, sach' akuna, uywakuna qhawarinapaq, kaywan atipaspataq Qosqo lIaqtanch
sumaq allin kausananpaq, runankunataq kusisqa Qosqo lIaqtankumanta kanankupaq.
Llapanchismi huñusqa kanachis Khunpaychaykuna, Qosqo rurakuna hinataqmi kay Jlaqtanchisman1
ruwana huk chúlla k' itillata, atipasuntaqmi ñaupaq tayta Inkanchiskunaq imaymana lIan' kasqanku1
saqewasqanchista wiñaypaq kaqninchis. kana.npaq

Kunan paehataqmi Qosqo lIaqtanehis imaymana eh' aqwaypi, eh' a~ipi, ehanraraYPi
wasikuna, pukarakuna thunipunku, kaykunatataq hoq niraqkunaman tukuehipushanku.
Ñaupa lIaqtaq runankuna ruwanku warmikuna, erqekuna, qhatuqkuna, qolqesapa rU'1akun,
yaehaqkuna tukuy imaymana ruwaqkuna ima. Llqpanehismi huñusqa kananchis Qosqo tlaqtanchis ' ray~
imallapas ruwananchispaq .... munananehispaq aswan hatun lIaqtaman tukuchinanchispaq imayna1
Qosqonchis munan hinata.

"
"JUK WAMRA BANDERATA
“MANAM JAQISHQEKITSLP NIN","Juk junaq""
28' de juliu'
killachoshi 1821""watacho Limaq
marka allapa fiestacho kanaq. Wayikunanaqa llapanpis
banderashqa banderashqash kayanaq. Tse qoyash Plaza
de Armascho Juk balconpita General San Martin
qaparikunaq keno:
—Espanoikunapa makinpita kananqa Peru
markantsik librinam —nishpa.

Allapa shumaq parleninwanshi Don Jose de San
Martin ken6 ninaq:
—Kananpita witsepam Peru marka librina kanqa.
Llapan nunakuna jipayanqanrekurmi, Teta Dios defendin.
jViva la patria! jViva la libertad! [Viva la independencia!
—nir.
Tseno nir ushariptinnash, tsecho kekaq nunakuna
himno nacionalta cantakuriyanaq. Tsepitaiiash niyanaq:
“iViva e! Peru!” nishpa, enteru Limaq markacho
wiyakunqanyaq.

Tsepitanash nunakuna eukuyariaq callikunapa '
wakirtkunanash Igleslakunaman, wakinkunanash
waylnkunaman. Wakinkunanash quedakuyanaq Plaza cie
Armasehd, ts§ llapan pasakushqankunata pariarnin.

Tse nunakunachoshi kekanaq Bolognesi jutiyoq
nunapis. Peqa kanaq .Lima catedralcho organu instrumentu
tocaqshi. Tse qoyash manaraq proclamacionman ewar,
toquekunaq ailapa shumaq versuta misacho, Peru marka
libri tikrariptin Diosta “gracias” nikur.
Tsenash juk soidadu tapunaq:
—£Qam peruanuku kanki? —nishpa.-
Tsenash Bolognesi yaskinaq:
—Manam. Noqaqa ka Italia nacionpitam,Peru
warmTwan wamrakunam peruanu kayan. Noqa allapam
kuya ke markata imeka markalano. Aumi Tete, llapan ,
shonquwanmi peruanu ka —nishpash, ailapa kushishqa
ninaq.

Tsepita unellatanash yanaqinkunata ‘ewalla” nikurir,
ewakunaq wayinman. Musyanaq castankuna tse qoya
llapan pasakushqanta willakunanpaq shuyekayanqantash

Wayinman chariptinnash, Bolognesita. limpu
jirururiyanaq, wiliakyptiii musyapakita munar. Peru mayor
tsurlnnash mantsakashqa wiyarakunaq papanin
wiHakushqanta, Manash meqanpls tse mayor tsurinnoqa
kaylkskuyanaqtsu, Uapanfa wiliakur usharimash, ninaq:

KananJas '
tres '
de latardim Hapan'nunakunawari
kayana Plaza de Armasctid bandera peruanuta “manarn
jaqiyashqekitsu” nir, jurayanapaq.
Tseno nishpash jeqarinaq, tsukunta tsukurkurv
tukrurtta tsararkur, cal wayikunapa balconninkunapa
jawanpa chirapa tamya mana nuyunanpaq.

Yarqurekarnash, qepancho pasu waqaqta
makikunaq. Tumekunanpaqnash ma wamran kanaq. Tse
wamrash fuertipa keno ninaq:
. —Papa, qamwanmi ewasHaq 'Ooqap
'
is.
Prometishaqmi banderata defendinapaq.
Papaninnash pinapanaq:
Ewayanaqa alii cholu kaqliam —nishpa.

Wamranash mean:
—Noqapis ka alii cholum y peruanum.
Prometishaqmi banderata defendinapaq —nir.
Tsenoshi tse ichiklian wamraqa papaninpitapis mas
empenu kanaq. Tsenash papaninqa. mana imatapis
nisbpana, jeqaratslnaq maklnpita jancharkur.

'Wamranasli iiapanta-kosa rikapaki'
koq imekalseraq
lima caliikunaia reqeqno. Peqa iiapan Limaq callikunatash
reqinaq; peru manash nunca tseno adornashqataqa
rlkashqatsu kanaq, Jatusaq wayikunapa punkunkunapis,-
sawanninkunapis kieharpakunaqshi, y patiunkunapis wetapa
adornashqash kanaq; altuskunapitanash wayikayamunaq
Imano shumaq bordashqa telakunata; postikunapis iehik
jchsk banderakunawan adomekushqash kekunaq.
Nonakuna.na.sfi wakta keta purikuyanaq Lima cailikunapa'
kushishqa, tsekuna pasakushqanta parlarifana y
,waqupanakuriiana. 

Plazaman cfiarirnash, Bologneseqa isuriilanwan
balconpa jawanman kutakariyanaq. Tsemannash nunakuna
wakpita kepita charsrnin, fiestata rurar qaHakikuyanaq,
Bologneslpa wamrannash waktapis ketapis
rikachakikoq; calsdrai igilessapa gradankunachonash y
plazachdnasli nunakuna eilukasiiqa. bufiekuyaq,
Wayikunapa altusninpltanash wiraqtsakuna
wamrankunawan qawarpekayamunaq.
esquinakunachonash rantikuy&naq anticuchukunata y
mishkeq bunuelukunata,Plazapa ehopinchonash kekanaq'
iukjatun bandera peruanu, vientuwan wakman Reman
batikikar.

Las tres de la tardinash corneta waqaqta
wiyekuyanaq. Mandakoq San Martinnash peruanu
soldadukunawan y wiraqtsa iimenukunawan banders
kaqman ewayanaq. Nunakunanash formariyanaq juk largu
fiiaman,Bolognesinash wamranta makinpita jancharkur
ninaq:
—Akurewashuri.
. Juk nunanash tse warnrata filacho rikekur, .
espantakur ninaq:
—i
,Hasta taqe wamraliapis ewan banderata
defendinanpaq juraqkush? —nishpa. . . —Peru iglesiacho organu tocaq Bolognesitaq apan,
^
Capazchi tsurinima? —nishpash, juk nuna yaskirinaq,
juk nunanash ninaq:
—Yachatsikoq Boiogneseqa manam peruanu
mayintsiktsu, Peru kuyanmi Peru markantsikta,
tsurinkunapa markan kaptin,
—Aumi, peqa wamrankunata ichikilanpitam yachatsin
markarsta kuyayananpaq —nishpash, yaskirinaq.
Tsenash filacho ewekarnin, ichikilan liullu
Bolognesitaqa papanin keno ninaq:

Taqemi bandera peruanu. Imeka kikin nacion
kwentam. Tsemi yachakunki kuyeta y cfefendita, Guerra
kaptinnaqa, wanunekim taqe banderarekurqa —nir.
Wamranash yaskinaq keno:
—Aumi, Papa. Noqa munami banderata kuyanapaq y
defendinapaq yachaklta.
Tseno nishpash, allapa kushishqa mutsekunaq
nopancho kekaq banderata.

Tsepita alii utie tiempu pasanganchonash. Peru
markantsik guerracho kakurinaq. Y kanaq allapa maqanaki
y wanutsinakishi Arica nishqan markacho,
enemiguntsikkunanash munayanaq marka mayihtsikkuna
venciyamarqunkinam niyananta. Peru juk mandakoq aukin
coroneinash contestanaq keno:
. —Deberneqa sagradurn. Y parlanqata cumpli'
narni,
—nishpa—. Ma tse deber sagradoqa markanpaqrekur
pelear defendinanshi kanaq.
Tseshi tse mandakoq coronelqa wanunaq
markanpaqrekur. Kananqa pe reqishqa nunam. Jutinpis
Francisco Bolognesim, peshi Limaq markacho organu
tocaqpa tsurin kanaq. Y pitsqa watayoqilaraq kekarshi,
allapa respetunwan kushishqa ninaq:
—Banderata manam nunca jaqishaqtsu ni
traicionashaqtsu —nishpa.
Tsepita patsasli yarpantsik Francisco Bologhesita'""
cada wata 7 de juniu kiliacho. Tseshi llapan soldadukunapis
tse junaq banderata niyan: “Manam jaqishqekitsu”, nishpa.


"
ALQU AMÏGUNWAN,"¡Amïgucuna! Ñoqa cuentashëqui. Ñoqam mamäpa
rurinpic yurë ishquë quilla y quimsa unaq päsasquiptin.
Llullu carmi lichita upö. Atunyarñaqa ëtsata micö, löbunö y
atoqnö.
Ñoqam cä alli amïgun runacunapa. Pëcunawanmi
pucllëta gustaman. Mëtapis ëwayaptin yanaqämi. "
UC LORU,Uc loru tsoqlluta micoq uc ?hacraman ëwëcäñaq. Loruta vuëlar ëwëcaqta riquëcorqa ?hacra duëñu anyacuñaq. Tsënö loruta anyëcaptenqa tsëpa qepanta mas lorucuna yarquyäñaq. ?hacra duëñu tsoqllunta micushqata riquëcorqa alläpa rabiacuñaq.
PALUMAWAN ABËJA,Uc paluma a ?ha ?haq unaq ?hö ëwañaq viajita. Yacöquïcar uc abëjata qerupic ishqueqta ricäñaq. Tsëta ricasquirnenqa pïcunwan orqöqon. Tsëpic uc cazador palumata ricar casëta munañaq. Abëjaqa palumata defendirnin cazadorpa maquinta picañaq.
LACHACCUNA TÖRUCUNAWAN,"Ishquë lachaccuna estanquipa ñöpan?hö amar quëcäyäñaq. Tsënö amëcarqa ricäyäñaq ishquë törucunata maqanacuyaqta pastu?hö. Tsëña lachacqa yanasanta ñin: “Riquë quë atusaq animalcunata. ¿Imanöraq cananqa vïdantsic canqa tsë atusaq animalcuna quëpa päsayaptin?” ñir. “Ama mantsaquëtsu” ucnin lachac ñin. “Manam imanamäshuntsu tsë animalcunaqa”. “Ömi, peru quëpa uc töru päsarqa ñoqantsicta sarumënintsicta puëdin. ¡Acu ëwacushun quëpic!”"
ATOQWAN WANCHÄCU,"Uc atoq allqa?hö puriycar töpacäñaq uc wanchäcuwan. Tsëñam puca pëchunta riquëcur atoqqa tapöqon: “¿Imanartan puca pëchïqueqa Tio Wanchäcu?” ñir. Wanchäcuñam ñëqon: “Qampapis puca pëchïqui cananta munarqa apamï uc läta puca utsu aqashqata y cuchïlluta, pëchïquita roqusquir llashtashunpaq”. Tsënömi atoqqa cäsurnin utsuta apamöqon. Llashtasquiptenqa “¡Achachau, achachau!” ñir ñacäqon asta wañunqanyaq."
ACSHU COSËCHA,Uc runa warminwan ëwañaq acshu cosëchaman. ?hëcorqa warmenqa ñiñaq: “Ëwä uralä waqtapa ashnucunata witiycatsimoq”. Runaqa suegranta pëcunaman ëwaqta ricäqon. Acshuta mana qarëninta munar warminta ñiñaq: “Mamëqui shamïcan. Tsincaquï yorosho qopinman”. Tsënö ya?hatsinacuyäñaq. Warmeqa cäsurnin tsincacöqon. Uc rätutaqa ?häñaq warmipa maman. Mashallanta tarir tapöqon: “¿Mëtan wamräqa?” ñir. Tapuptinñam ñëqon: “Ëwäqonmi ashnucunata wititsimoq y manam cutimunraqtsu”. Warmeqa tsincacöqon maman cutenqanyaq. Mamanqa manaña wamran yuriptenqa waqarëcar cuticuñaq. Mamanpa maldicionnin?hö warmeqa mana yarqïta puëdir wañuñaq. Tsëpic runaqa warminta asheq ëwarqa tariñaq wañushqata.
ATOQ TORÏTUWAN,Uc atoq allqapa ëwäqon. Tsë?hö uc torïtuwan tarinacöqon. Tsënömi ñëqon engäñuwan: “¿Imatatan ruranqui? ¿Munanquicu ëwëta paseaq?” ñir. Torïtoqa ñëqon: “Manamunätsu. Mamämi piñapämanqa”. Atoqqa llullacur sïgëqon parlaparnin: “Manam piñapäshunquitsu. Ñoqam mamëquiwan parläqöña”. Torïtoqa atoqta criyëqon. Atoq torïtuta tunaqpa apäqon: “Acu Huallata paseaq”. Tsëpic ñëqon: “Acu almorsaq”. Ñiptin torïtoqa maliciasquir escapañaq.
LLULLA MITSICOQ,"Uc llulla mitsicoq runacunaman qayacoq: “¡Shamïcan atoq! ¡Shamïcan atoq!” ñir llullacur. Llapan runacuna ëwayäqon armancunawan qeruncunawan. ?hëcorqa nimatapis ricäyäqantsu. Uc alleq atoqqa rasunpa ?häñaq. Llulla mitsicoqqa qallëcuñaq qayacur. Runacunaqa cäsuyäqanñatsu. Tsëña atoqqa ïshancunata micöqon. Mitsicoq castiguta merecëqon, llulla quënin?hö."
