quechua,espanol
wanquyru,abeja
llaptsiy,ablandar
shulluy,abortar
waquy,abrazar
kichay,abrir
aayay,abrir la boca
awila,abuela
awilu,abuelo
aniy,aceptar
aniy,estar de acuerdo
tumpay,acusar
tumpay,culpar
nawpa,adelante
nawpa,antes
nawpa,tiempo antiguo
mutsakuy,adorar
mutsakuy,venerar
allitsay,adornar
allitsay,arreglar
wanunaykaq,agonizante
antsay,agravarse
yapay,agregar
yapay,repetir
yaku,agua
yakuchay,aguar
anka,aguila
antakasha,aguja de arriero
shinqashyay,ahogamiento
utsu,ají
ripra,ala
atuq kuru,alacrán
kushikuy,alegrarse
kushuru,alga
utku,algodón
ramrash,aliso
wayaw,aliso
hupay,alma
hupay,espíritu
hawya,almohada
paqu,alpaca
atsikyay,alumbrar
yachakuq,alumno
waraq,amanecer
kuyay,amar
waylluy,amar
puchquy,amargar
asqa,amargo
qallwash,amarillo
taqllay,amasar
yanasa,amigo
pushllu,ampolla
illa,amuleto
awkin,anciano
kukun,anciano
patakuna,andenes
upichu,anemia
aniillu,anillo
uywa,animal
chiklu,animal nacido con un solo testículo
chukaru,animal salvaje
uqiti,ano
wata,año
wanka,apacheta
upiy,apagar
wiluy,apalear
nitiy,aplastar
tanuy,aplastar
tanuy,embutir
paqchiy,aplaudir
unkuy,aporcar la papa
kinray,aproximarse
kinray,dirigirse en forma horizontal
hikutay,apurar
taklla,arado
pachka,araña grande
yapyay,arar
hacha,árbol
kulli,árbol de zona quechua y yunga
kiswar,arbol nativo
kiswar,de la familia de la aliváceas
raqu,arcilla
turmanyay,arco iris
rawray,arder
aqu,arena
tupra,arista
rakacha,arracacha
qarachaakuy,arrastrarse
qarachaakuy,reptar
qatiy,arrear
altsay,arreglar
qunqurikuy,arrodillarse
wikapay,arrojar un objeto
inku,arrugado
inku,encogido
allwi,arvejas
kanka,asado
rimanakuy,asamblea
milanay,asco
milanay,dar náuseas
milanay,asquear
isqamray,asfixia
isqamray,atorarse
taakuna,asiento
taakuna,asiento
taakuna,silla
qachqa,aspero
pirwa,atado de tallo seco de cereales
qipi,atado
qipi,bulto
watay,atar
watay,amarrar
waykay,atizar el fuego
waqachay,aullido
hakay,aumentar de volumen
miray,aumentar
miray,reproducir
kamatsikuq,autoridad
lliqllish,ave centinela
willay,avisar
willay,contar
llikllakshu,axila
qanyan,ayer
ayni,ayuda mutua
minka,ayuda remunerada en dinero o producto
yanapay,ayudar
yanapay,colaborar
rakwa,azadón
anqash,azul
lamati,baba
tushuy,bailar
uray,bajar
taksha,bajo de estatura
taksha,pequeño
kunku,banco
unancha,bandera
armakuy,bañarse
shapra,barba
tsakmay,barbechar
tsakmay,roturar
qachpi,barranco
pitsay,barrer
pitsay,limpiar
liqita,barro
atska,bastante
atska,mucho
tukru,bastón
puqi,basura
maray,batán
qawiy,batir
wayiita,bayeta
llullu,bebé
upyay,beber
upyay,tomar
wishi,becerro
uqururu,berro
mutsay,besar
yuraq,blanco
shimi,boca
puqla,bocio
piksha,bolsa
tinya,bombo
hacha hacha,bosque
aayapaakuy,bostezar
rikra,brazo
chipapa,brillo
chiqlliy,brotar
achikay,bruja
ukshi,buche
tuku,búho
ashnu,burro
kawallu,caballo
aqtsa,cabello
piqa,cabeza
chiwa,cabra
waraqu,cactus
mikuykunapa shinrinakuynin,cadena alimenticia
anka,cadera
anka,rabadilla
isku,cal
kalawasu,calabaza
tantiyay,calcular
quñuq,caliente
upaallakuy,callar
qala putu,calvo.
wachu,camellones
kirma,camilla
puriy,caminar
naani,camino
kushma,camisa
apichu,camote
pintsa,canal
pintsa,acequia
isanka,canasta
chuluki,canicas de semillas de choloque
utiy,cansarse
qutsuy,cantar
puyñu,cántaro
kuntu,cántaro grande
qantu,cantuta
wiru,caña de maíz
qaqlla,cara
qaracha,caracha
qaracha,sarna
laqatu,caracol
ulla,carbón
millqay,cargar algo en la falda
apariy,cargar en la espalda
kallishtu,carnaval
charki,carne seca
aytsa,carne
aytsa,músculos
wayi,casa
wayi,hogar
