ID,N°,Tipo,T,Quechua ,Traducción (español)
B001,1,Palabra,W,Ch’arwi,Desorden
B002,2,Palabra,W,Runa,Persona
B003,3,Palabra,W,Chanin,Precio
B004,4,Palabra,W,Puka,Rojo
B005,5,Palabra,W,Hallp’a,Tierra
B006,6,Palabra,W,Rikuq,Testigo
B007,7,Palabra,W,Wasimasi,Vecino de casa
B008,8,Palabra,W,Tullu,Flaco
B009,9,Palabra,W,Walla,Policía
B010,10,Palabra,W,Murmu,Mediano
B011,11,Palabra,W,Amu,Mudo
B012,12,Palabra,W,Aqo,Arena
B013,13,Palabra,W,Ch’apra,Maleza
B014,14,Palabra,W,Ch’uru,Caracol
B015,15,Palabra,W,Hallmay,Aporque
B016,16,Palabra,W,Chakmay,Preparado de tierra para la siembra
B017,17,Palabra,W,Quichwaruna,Quechuas
B018,18,Palabra,W,Respetuwan,Respeto
B019,19,Palabra,W,Rurukuna,Granos
B020,20,Palabra,W,Yupaykuna,Numeros
B021,21,Palabra,W,Suchi,Remesa/encargo
B022,22,Palabra,W,T'ika,flor
B023,23,Palabra,W,Uywanakuy,Crianza mutua
B024,24,Palabra,W,T'aqwiy,Investigar
B025,25,Palabra,W,Suyu,País
B026,26,Palabra,W,llulla,Mentira
B027,27,Palabra,W,Chinkakuq,Fugitiva
B028,28,Palabra,W,Onqoy,Embarazada
B029,29,Palabra,W,Qorqoy,Roncar
B030,30,Palabra,W,Sayay,Parar
B031,31,Palabra,W,Nanay,Adolorecer
B032,32,Palabra,W,Chhulliy,Estornudar
B033,33,Palabra,W,Qawalayay,"Curiosear, moscorear"
B034,34,Palabra,W,Kumpay,Tumbar
B035,35,Palabra,W,Laq'apakuy,Tropezar
B036,36,Palabra,W,Qhawakuy,Mirarse en espejo
B037,37,Palabra,W,Thaltuy,Babear
B038,38,Palabra,W,P’enqachiy,"Avergonzar, causar vergüenza"
B039,39,Palabra,W,Q’ellachay,Cicatrizar
B040,40,Palabra,W,Qellakuy,"Flojear, ociosidad"
B041,41,Palabra,W,Chutay,Alargar. Estirar
B042,42,Palabra,W,T’akay,Derramar
B043,43,Oración,S,Pata-patakunapi sarata tarpuranku,Cultivaban en andenes el maíz
B044,44,Oración,S,Kaqninchiskunamanta yachasunchis,Aprendamos sobre patrimonio
B045,45,Oración,S,Asnuyki qaparqachayshan,Tú burro está rebuznando
B046,46,Oración,S,Truchakuna mayupi kashan,Hay truchas en el río
B047,47,Oración,S,Mesa patapi tiyakushan,Está sentado encima de la mesa
B048,48,Oración,S,Churakun huk punchuwan,Se puso un poncho
B049,49,Oración,S,Chay sarusqapa sutinmi yupi,Esas pisadas se conocen con el nombre de huellas
B050,50,Oración,S,Kawallupin tiyuyki hamusqa,Tú tío vino a caballo
B051,51,Oración,S,Pukllanaykiraykun hamunki,Vienes porque quieres jugar
B052,52,Oración,S,Llant’ata rantirani,Compré la leña
B053,53,Oración,S,Papata Rosa rantinqa,Rosa comprará papa
B054,54,Oración,S,Wasinpi takiyta yachachiwan,Me enseña a cantar en su casa
B055,55,Oración,S,Anselmo Juanpiwan sara t'ipiq rinqaku,Anselmo y Juan irán a la cosecha de maíz
B056,56,Oración,S,Yaku rupha kashan,El agua está caliente
B057,57,Oración,S,Huk'uchakuna sarata anchata mikhun,Los ratones comen mucho maíz
B058,58,Oración,S,Wawaykita q'epirikuy,Cárgala al bebé
B059,59,Oración,S,Tarukakuna orqokunapi tiyan,El venado vive por los cerros
B060,60,Oración,S,Arequipa t'antata qosqayki,Le doy pan de Arequipa
B061,61,Oración,S,Ñañantinpura munanakunku,Entre hermanas se quieren
B062,62,Oración,S,Pishqa wawayuq kani,Tengo cinco hijos
B063,63,Oración,S,Nisqanmanhina,De acuerdo a lo que dice
B064,64,Oración,S,Noqa papata mikhushani,Yo estoy comiendo la papa
B065,65,Oración,S,Rivistata qhawashani,Estoy mirando una revista
B066,66,Oración,S,Noqanchis yachaywasi ukhupi kashanchis,Nosotros estamos en el salón
B067,67,Oración,S,Runa chakra ukhupi puriykachan,Esa persona camina sin rumbo en nuestra chacra
B068,68,Oración,S,Mamay mukhuta tukuylawman apaykachashan,Nuestra mama lleva la semilla de aqui para allá
B069,69,Oración,S,Qaqa qaqapiqa manan pipas tiyanchu,En los roquedales nadie vive
B070,70,Oración,S,Papa chakramanta lliw qorakunata orqosunchis,De la chacra de papas hay que deshierbar todas las malezas.
B071,71,Oración,S,Munapayasqa runakunaqa mana allin rikusqan,Las personas desaseadas no son bien vistas.
B072,72,Oración,S,Gary Leandron sullk'a wawaypa sutinqa,Mi hijo menor se llama Gary Leandro͖
B073,73,Oración,S,Payqa Juliacapi paqariran.,El nació en Juliaca
B074,74,Oración,S,Qhepa p'unchawkunapi icha llaqta umalliq kayman,En los días venideros tal vez sea autoridad.
B075,75,Oración,S,Hap'iy yachaq hinallataq ch'illiku mikhuq alqokunaqa wirallañan wiñanku,Los perros que cazan y comen grillos se mantienen gordos.
B076,76,Oración,S,Huk payacha wirullata hanch'uq,Una abuelita que sólo come caña
B077,77,Oración,S,Muyu muyu wayraqa hallp´ata huqarisparaq muyun.,El remolino levantando la tierra produce polvo.
B078,78,Oración,S,Noqaykurayku chay huñunakuyman rinki,Por favor asiste a esa reunión en representación nuestra.
B079,79,Oración,S,Chaymantaña lapitutaqa rantisunchis,Ya después compraremos el sombrero.
B080,80,Oración,S,Kay raqachaqa rumumanmi rikch’akun.,Esta racacha se parece a la yuca.
B081,81,Oración,S,Qapariqtinñan khatatatayta saqerun,Cuando se le gritó dejó de delirar
B082,82,Oración,S,Tawa chunka watayuq kani,Tengo cuarenta años
B083,83,Oración,S,Manaraqmi imatapas ruwankuchu,Todavía no han hecho nada
B084,84,Oración,S,Llaqtamanmi seqaykapunku,Se fueron hacia el pueblo
B085,85,Oración,S,Paykunan sinchikunawan rimashan,Ellos están hablando con el policía
B086,86,Oración,S,Chay llaqtaqqa Pillpintun sutin,Ese lugar se llamaba Pillpintu
B087,87,Oración,S,Chayqa manan lloq'e makichu,Esa no es la mano izquierda
B088,88,Oración,S,Chay isankaqa mana aysanayuqmi,Esa canasta no tiene asa
B089,89,Oración,S,Waka qaramantan tinya ruwakun,Del cuero de vaca se hace tambor
B090,90,Oración,S,Kay huñunasqa runakunaqqa tigren sutinku,Este grupo se llama Los tigres
B091,91,Oración,S,Kaypiqa lliw kamachikuykunatan uyarinayki,Aquí debes obedecer todas las órdenes que escuches
B092,92,Oración,S,Hatun mankaman hich'ay unuta hinaspa astawan apamuy,"Vacía el agua a la olla grande, luego trae más agua"
B093,93,Oración,S,Wawakunaqa chayhinata waqanku wiksanku nanaqtinmi,Las criaturas lloran de esa manera cuando tienen dolor de estómago
B094,94,Oración,S,"Turukunaqa ishkay waqrayuqmi, tarukakuna ichaqa tawa waqrayuq kanku","Los toros poseen dos cuernos, en cambio los venados tienen cuatro"
B095,95,Oración,S,Uywataqa allin ichhupi yakuq kasqanpin wataramunki,"Amarrarás al caballo en la paja, donde haya buen pastizal y agua"
B096,96,Oración,S,¿Manachu winkuwan aqhataqa rakiwaq?,¿No podrías distribuir la chicha con el huinco?
B097,97,Oración,S,Lawakunataqa k’aspi wisllawan qaywispakama wayk’una.,La mazamorra hay que cocinarla removiéndola constantemente con un cucharón de palo.
B098,98,Oración,S,"Wasaymi anchata nanawan, yachaqwan kukata qhawachikamusaq",Tengo dolores fuertísimos en la espalda; iré donde la persona que lee la coca
B099,99,Oración,S,Mamaymi wayk´uyta yachachiwan,Mi mamá me enseña a cocinar
B100,100,Oración,S,Yoniqa ñawinchayta yanapawan,Yony me ayuda a leer
B101,101,Oración,S,Hawa llaqtakunapiqa imatapas yanapanakuspapuni ruwanchis,En las comunidades rurales siempre realizamos cualquier trabajo ayudándonos los unos a los otros.
B102,102,Oración,S,Wawakuna: paqarinpaqqa kay phishqa yapaykunata ruramunkichis,Niños: para mañana resolverán estas cinco sumas
B103,103,Oración,S,Kaypi suyay niwanku,Me han dicho que espere aquí
B104,104,Oración,S,Mana ima nisqantapas yachanichu,No entiendo lo que dice
B105,105,Oración,S,Kimsa rikra wayitamantam kay warataqa sirapuwanku.,Este pantalón me lo cosieron de tres brazadas de bayeta.
B106,106,Oración,S,Inka awkikunaqa yachaysapataq kallpasapataq karanku.,Los auquis de la época de los incas fueron muy sabios y forzudos.
B107,107,Oración,S,Mana allin kawsaykuna kaqtinqa awkinchiskunata tapurikusunchis,Frente a las fatalidades de la vida consultemos a nuestros ancianos.
B108,108,Oración,S,"Mana para kanchu, apukunatacha phiñarachinku","Hay mucha sequía, seguramente han ofendido a los espíritus de los cerros."
B109,109,Oración,S,Ayrampu ruru hampi unuqa tukuy onqoy hampinapaqmi allin,El mate del fruto del airampo es bueno para curar muchas enfermedades
B110,110,Oración,S,Noqaqa sara hinallataq mashwa chakrayuqmi kani,Yo soy propietario de chacras de maíz y de mashua
B111,111,Oración,S,Phushkasqaymantaqa chanintan haywaripuwan,Por mi trabajo de hilado me pagaron lo justo
B112,112,Oración,S,Paqonchiskunaqa mamaniq llamankunawanmi chapurakapusqa,Nuestras alpacas se habían mezclado con las llamas de los Mamani.
B113,113,Oración,S,Nishuta ruphaykamushan icha tutaykuymanqa chikchiramunqa,Está soleando muy fuerte; seguramente más tarde ha de granizar
B114,114,Oración,S,Wayna Pikchu orqoqa huk chuqupi tukun,El cerro Huayna Picchu termina en un cono mochado
B115,115,Oración,S,Uywaqa ishkay llamaq q'epinantan apan,Un caballo carga lo que pueden llevar dos llamas
B116,116,Oración,S,Kuchuq kiruqa aycha kuchunapaq,Los incisivos sirven para cortar la carne
B117,117,Oración,S,Kay p'ukupi chay uchukutata churamuy,Recoge el ají molido en este platito
B118,118,Oración,S,Manarami mana sasa ashkha runapi infección  hap´iyta yachaykuchu,Ni siquiera sabemos lo fácil que es capturar una infección en una multitud.
B119,119,Oración,S,Ñawpaqqa thanta p'achakunallan t'oqoyuq karan,Antes solamente la ropa vieja tenía agujeros
B120,120,Oración,S,Raphikunataqa k´ashkachinawanmi kikinpura k´askachikun.,Las hojas de papel se pegan entre sí con engrudo
B121,121,Oración,S,Nishu q'eshwasqa q'aytuqa osqhayllan p´itikun.,El hilo muy torcido se rompe muy fácilmente
B122,122,Oración,S,Lliw llaqtan paqarin huñunakuymanqa rinan,Toda la población tiene que concurrir mañana a la asamblea
B123,123,Oración,S,Wakin uywakunaqa tawa chakiyuqmi,Algunos animales tienen cuatro patas
B124,124,Oración,S,Qella warmakunaqa millayllatañan seq'eta ruwarusqaku,Los niños ociosos hicieron dibujos feos
B125,125,Oración,S,K'aytuqa nishu wata watallañan kashan,El hilo está lleno de nudos
B126,126,Oración,S,K'aspimanta ñaqch'aqa ruwakuyta atikunmanmi,Pueden fabricarse peines de madera
B127,127,Oración,S,Suqta uyayuq pirwaqa machina sutiyuq,El cuerpo geométrico de seis caras se llama cubo
B128,128,Oración,S,Patuqa unupi tuytun,El pato nada en el agua
B129,129,Oración,S,Yachachiqniymi lapizwan seq'eta ruwachiwan,Mi profesor me hace dibujar con lápiz
B130,130,Oración,S,Llink'i hallp´aqa resisqa tarinakunallapin kan,La arcilla plástica solamente se encuentra en lugares conocidos
B131,131,Oración,S,Wasi pachanqa rumiwanpunin ruwakun,La cimentación de las casas siempre se levanta de piedras
B132,132,Oración,S,Mankaq sikinqa phatarusqan,La base de la olla se había rajado
B133,133,Oración,S,Sikutaqa phukuspa waqachina,La zampoña se toca soplando
B134,134,Oración,S,Estados Unidos runakunaqa inglés simita rimanku,Los pobladores de los Estados Unidos hablan la lengua inglesa
B135,135,Oración,S,Mistikunaqa sunkhasapa niraqllapuni kanku,Los mestizos generalmente son barbudos
B136,136,Oración,S,Alqokunqa wakakunata muyurispan kaninku,El perro rodea al ganado ladrando cada noche
B137,137,Oración,S,Paka mallkiqa tuqurupiqa misk’i unu kan,El árbol de la paca tiene agua en sus cañas
B138,138,Oración,S,Sara chakramantaqa qorakunata saphintinta wikhana,Las malas hierbas deben ser arrancadas desde la raíz de las chacras de maíz
B139,139,Oración,S,Mana qaywisqa lawa mankaqa tiyaruspa rupharunmanmi.,La olla de mazamorra que no se remueve puede asentarse y quemarse.
B140,140,Oración,S,Qhillqana raphita mamaywan rantichikusaq.,Me haré comprar cuadernos con mi mamá.
B141,141,Oración,S,Mayu unu qoncho kaqtinqa qocha washwakunan k'uykakunata mikhun,"Si las aguas de los ríos están muy turbias, entonces las gaviotas comen las lombrices de la tierra."
B142,142,Oración,S,Kunan qhepa waynakunaqa manañan lawitata t'oqyachiyta munankuñachu,Los jovencitos de hoy ya no quieren ni tocar la quena
B143,143,Oración,S,"Inkaqa qerupin aqhap ñawinta tayta intiman t’inkaq, chaymi allin kawsaykuna chay watakunapiqa kaq.",El Rey Inka asperjaba lo mejor de la chicha al Padre Sol y es por ello que durante esos años había buena cosecha.
B144,144,Oración,S,Tupaq Amaru kuraq taytanchisqa awqa runakunamanta qespichiyta munaspas noqanchisrayku wañuyninta tarisqa.,Nuestro héroe Túpac Amaru dicen que encontró la muerte por liberarnos de los explotadores.
B145,145,Oración,S,Chay qochamantas kuraq tayta mamanchis Manco Qhapaqwan Mama Oqlluwan lluqsimuq kasqaku,Dicen que nuestros primeros padres Manco Ccapac y Mama Ocllo salieron de ese lago
B146,146,Oración,S,Qulli sach’aqa qheswar sach’aq yawar masinmi,El colli es pariente del quishuar
B147,147,Oración,S,Qolqesapa runaqa qorimanta otaq qolqe alakhamanta kirunta churachikun,La gente adinerada se hace colocar dientes de oro o de plata.
B148,148,Oración,S,Espinar llaqtamanta Santo Tomás llaqtamanqa Bellilli llaqtallantapuni rinchis.,De Espinar a Santo Tomás siempre tendremos que ir por Velille
B149,149,Oración,S,"Qosqomanta Santo Tomasmantaq Tinkuq chakanta, mana chayqa Wallpa Chakallantaña.",Del Cuzco a Santo Tomás por el Puente Tincuc o de lo contrario por el Puente Huallpa Chaca.
B150,150,Oración,S,Ichhu chakantapas rillasunchismanmi,También podemos ir por el Puente inca de paja.
B151,151,Oración,S,"Chirimantapas, ruphaymantapas chhulli onqoyqa hap’illawanchismi.",El catarro puede producirse tanto por exceso de frío como de calor
B152,152,Oración,S,"Aqowan, unuwan simintu qaywisqaqa utqayllan rumiyarqun.","La mezcla de arena, agua y cemento se petriĮca muy rápidamente."
B153,153,Oración,S,Samán llaqta kayllapi huk orqo Imarukus sutuyuq kan .,Cerca al pueblo de Samán hay un cerro llamado Imarrucos.
B154,154,Oración,S,K’ankaq mana sarusqan wallpaq runtunqa manas chiwchinmanchu.,El huevo de la gallina que no ha sido fecundada por el gallo no genera vida
B155,155,Oración,S,Rurunninchisqa ashkha sankhachayyqkunan,Nuestros riñones tienen muchos canalitos
