ID,N°,Tipo,T,Quechua ,Traducción (español)
S001,1,Palabra,W,Chiri,Frío
S002,2,Palabra,W,Chuchu,Duro
S003,3,Palabra,W,Lliklla,Manta
S004,4,Palabra,W,Wist´u,Cojo
S005,5,Palabra,W,Llant´a,Leña
S006,6,Palabra,W,T´oqo,Hoyo
S007,7,Palabra,W,Pichinku,Gorrión
S008,8,Palabra,W,Ninri,Oreja
S009,9,Palabra,W,Poqo,Maduro
S010,10,Palabra,W,Ñuqñu,Requesón
S011,11,Palabra,W,Llulla,Mentirosa
S012,12,Palabra,W,Qosa,Marido
S013,13,Palabra,W,Kachi,Sal
S014,14,Palabra,W,Pisqo,Jilguero
S015,15,Palabra,W,Misk’i,Dulce
S016,16,Palabra,W,Q’ayma,Desabrido
S017,17,Palabra,W,Qanra,"Sucio, muy cochino"
S018,18,Palabra,W,Sumaq,Bonito
S019,19,Palabra,W,Ch’uya,"Limpio,claro"
S020,20,Palabra,W,P’oshqo,Salado
S021,21,Palabra,W,Millay,Feo
S022,22,Palabra,W,Hatun,Grande
S023,23,Palabra,W,Huch´uy,Pequeño
S024,24,Palabra,W,Rakhu,Grueso
S025,25,Palabra,W,K´ikllu,Angosto
S026,26,Palabra,W,Nishu,Demasiado
S027,27,Palabra,W,Samp’a,Liviano
S028,28,Palabra,W,Uma nanay,Dolor de cabeza
S029,29,Palabra,W,Q’oñichiy,Hacer calentar
S030,30,Palabra,W,Ruphachiy,Hacer quemar
S031,31,Palabra,W,T’impuchiy,Hacer hervir
S032,32,Palabra,W,Watuy,"Visitar, extrañar"
S033,33,Palabra,W,Tapuy,Preguntar
S034,34,Palabra,W,Kuchuy,Cortar
S035,35,Palabra,W,Runkhiy,Sacar cascara gruesa
S036,36,Palabra,W,Phukuy,Soplar
S037,37,Palabra,W,T’eqway,Pelar
S038,38,Palabra,W,Hank’ay,Tostar
S039,39,Palabra,W,Mishk’ichay,Endulzar
S040,40,Palabra,W,Malliy,Lavar mano
S041,41,Palabra,W,Teqtichiy,Freír
S042,42,Palabra,W,Chirichay,Hacer enfriar
S043,43,Oración,S,Manan allinchu kanki,No estoy bien
S044,44,Oración,S,Qan killikachaq kanki,Tú eres ingeniero
S045,45,Oración,S,Qan sumaq harawikunata qhelqanki,Tú escribes hermosas poesías
S046,46,Oración,S,Anta situwa killapi rimanku,Ellos hablan en el mes de julio
S047,47,Oración,S,Wallpata Qhapaq raymi killapi mikhuni,Como gallina en diciembre
S048,48,Oración,S,Phuyukuna teqsimuyupi qhawasqanchis wayrapi unu sut´ukunan tuytuqmi kanku,Las nubes que vemos en el cielo son gotitas de agua flotando en el aire.
S049,49,Oración,S,Suwaqnin runa llaqtamanta wanaqman purin,El hombre que robó camina desde el pueblo hacia la cárcel
S050,50,Oración,S,Tarpuq sara saramanta wasiman phawan,El agricultor corre desde el maizal hacia su casa
S051,51,Oración,S,Paykuna qochamanta rit’i orqokama purinku,Ellos caminan desde la laguna hasta el nevado
S052,52,Oración,S,Kakanku phawan,Su tío corre
S053,53,Oración,S,Ususinwan wayk´un,Cocina con su hija
S054,54,Oración,S,Churinchiskuna pukllan,Nuestro hijos juegan
S055,55,Oración,S,Qan mamanchiswan tiyanki,Tú vives con nuestra mamá
S056,56,Oración,S,Paya wawanwan pañaman rinku,La abuela y el niño van hacia la derecha
S057,57,Oración,S,Ñañaykiwan llamk´aranki,Trabajaste con tu hermana
S058,58,Oración,S,Qan paqo kanki,Tú eres sacerdote andino
S059,59,Oración,S,Noqa wawqeywan pukllani,Yo juego con mi hermano
S060,60,Oración,S,Paykuna urayman purinku,Ellos caminan hacia abajo
S061,61,Oración,S,Wawqen puñun,Su hermano duerme
S062,62,Oración,S,Payanku waqan,Su abuela llora
S063,63,Oración,S,Nishu karu kasqa,Era bastante lejos
S064,64,Oración,S,Noqa puñusaq,Yo dormiré
S065,65,Oración,S,Noqa puñusharani,Estaba durmiendo
S066,66,Oración,S,Noqayku puriq kayku,Nosotros solemos caminar
S067,67,Oración,S,Qasashanpunin,Siempre está helando
S068,68,Oración,S,Chakraypi oqata tarpuni,En mi chacra siembro oca
S069,69,Oración,S,Chakra tarpunaykupaq raymichayku,Para la siembra hacemos fiesta
S070,70,Oración,S,Peruq hatun kusi raymin,La fiesta del Perú/Día de la independencia
S071,71,Oración,S,"Chhullimanta, ch´oqhumanta hampikunapaq allin.",Es bueno para curarse de la gripe y la tos
S072,72,Oración,S,"Llaqtaypi wakata, khuchita, qowita, k´ankata, washwatawan uywanku.","En mi pueblo crian vaca, cerdo, cuy, gallo, y pato"
S073,73,Oración,S,Manan taytay takirqanchu hinaqa puñuran,Mi papá no había cantado (y) así durmió
S074,74,Oración,S,Raúl riman ichaqa Rodolfo takin.,Raúl habla pero Rodolfo canta
S075,75,Oración,S,Rodolfo qochaman wichan chaymanta llaqtaman kutin,Rodolfo sube a la laguna después/luego regresa al pueblo
S076,76,Oración,S,Mayqentaq hamusqarí,Y cuál de ellos ha venido?
S077,77,Oración,S,Mayqenpas tusuchun,Que baile cualquiera
S078,78,Oración,S,Manan pipas yachayta munanchu,Nadie quiere estudiar
S079,79,Oración,S,Manan mayqenpas waka kanchu,No hay ninguna vaca
S080,80,Oración,S,"Ama hina kaychu, apamuwanki t’antata","Por favor, me traes pan"
S081,81,Oración,S,Llapanku tiyashanku,Todos estan sentados
S082,82,Oración,S,Wakinchá kusikuranku,Algunos se habrán alegrado
S083,83,Oración,S,Kunanmantaqa aman rimankichu,Desde hoy no hablaras
S084,84,Oración,S,Trigomantan t’antaqa ruwakun,El pan se hace de trigo
S085,85,Oración,S,Kay washkhaqa paqpamantan,Ésta soga es de magué
S086,86,Oración,S,Llaqtaykimantan hamuni,Vengo de tu pueblo
S087,87,Oración,S,Noqa wakata michirani,Yo pastaba la vaca
