ID,N°,Tipo,T,Quechua ,Traducción (español)
E001,1,Palabra,W,Yachaqmasi,Compañero (de colegio)
E002,2,Palabra,W,Qolqe,Dinero
E003,3,Palabra,W,K’uychi,Arco Iris
E004,4,Palabra,W,Kunallan,Ahora
E005,5,Palabra,W,Chaninchay,Justicia
E006,6,Palabra,W,Hamawt´a,Sabio
E007,7,Palabra,W,Aranway,Fábula
E008,8,Palabra,W,Asnapa,Hierbas Aromáticas
E009,9,Palabra,W,Qatikachay,Cacería
E010,10,Palabra,W,Hallpa,Terreno
E011,11,Palabra,W,Hampiq,Curandero / doctor
E012,12,Palabra,W,Hanaq pacha,Cielo
E013,13,Palabra,W,Huch´uy,Pequeño
E014,14,Palabra,W,Illapa,Rayo
E015,15,Palabra,W,Aqha,Chicha
E016,16,Palabra,W,Chakmay,Preparado de la tierra para La siembra
E017,17,Palabra,W,Harawi,Poesía
E018,18,Palabra,W,Ñawi,Ojo
E019,19,Palabra,W,Sach'a,Árbol
E020,20,Palabra,W,Maway,Primeras Papas
E021,21,Palabra,W,Qatiy,Continua! Sigue!
E022,22,Palabra,W,Raymi,Fiesta
E023,23,Palabra,W,Raphi,Hoja
E024,24,Palabra,W,Rurukuna,Granos
E025,25,Palabra,W,Yupaykuna,Números
E026,26,Palabra,W,Siñaskuna,Señas de La naturaleza
E027,27,Palabra,W,Tapuykuna,Preguntas
E028,28,Palabra,W,Phallchay,Hechar Flores
E029,29,Palabra,W,Samp'a,Liviano
E030,30,Palabra,W,Nishu,Mucho
E031,31,Palabra,W,Rakhu,Grueso/Gordo
E032,32,Palabra,W,P'itay,Correr
E033,33,Palabra,W,Tarpuy mit´a,Primavera
E034,34,Palabra,W,Paray mit´a,Verano
E035,35,Palabra,W,QHapaq raymi killa,Diciembre
E036,36,Palabra,W,Paqarin,Mañana
E037,37,Palabra,W,Minchha,Pasado Mañana
E038,38,Palabra,W,Tutantin,Toda La Noche
E039,39,Palabra,W,Waynasipas,La Juventud
E040,40,Palabra,W,Wasichay,Techar Casa
E041,41,Palabra,W,Qesachay,Hacer Nido
E042,42,Palabra,W,Rit’i,Nieve
E043,43,Oración,S,Mayukunan ch'uya karan,Los ríos eran limpios
E044,44,Oración,S,Wayrapas ch'uyallataq karan,El aire era puro
E045,45,Oración,S,Qorakunawanmi hampiwaran,Me curó con hierbas
E046,46,Oración,S,Kuchuta wasiykiman apanki,Lleva el sombrero a tu casa
E047,47,Oración,S,Aqhata apamuway,Tráeme la chicha
E048,48,Oración,S,Kunan Arequipamanta chayamunqa,Hoy llegará de Arequipa
E049,49,Oración,S,Wawqeytan yanapasaq,Le ayudaré a mi hermano
E050,50,Oración,S,Ishkay killapin yachasaq,Aprenderé en 2 meses
E051,51,Oración,S,Noqapiwanmi risun,Iremos conmigo
E052,52,Oración,S,Noqan chaypi kanaypunin,Yo tengo que estar allí
E053,53,Oración,S,Noqan yachachiq kasaq,Yo seré profesor
E054,54,Oración,S,Awayta yachachinqa,Enseñará a tejer
E055,55,Oración,S,Waynakuna pukllashan,Los jóvenes están jugando
E056,56,Oración,S,Llapaykichis hamuychis,Vengan todos
E057,57,Oración,S,Wawqekunan paqarin tocanqaku,Mañana los hermanos van a tocar
E058,58,Oración,S,Paqarin tutallamanta hamusaq,Vendré mañana temprano
E059,59,Oración,S,Paraqa qolla poqoy killapin qallarin,El tiempo de lluvia empieza en enero
E060,60,Oración,S,Kay uchu sinchita hayan,Este ají pica fuertemente
E061,61,Oración,S,Wasi qhepapi pakasqa kashan,Está escondido detrás de la casa
E062,62,Oración,S,Aqhata ukyaykusun,Beberemos chicha
E063,63,Oración,S,Haku yachaq,Vamos a aprender!
E064,64,Oración,S,Paymi hamuran,Él vino
E065,65,Oración,S,Michiyki qhawashan,Esta mirando tu gato
E066,66,Oración,S,Coronavirusmanta hark’akuy,Protégete del coronavirus
E067,67,Oración,S,Ama llakikuychu,No te preocupes
E068,68,Oración,S,Waylluyqa allinmi.,Amar es bueno
E069,69,Oración,S,Noqa tusushani,Estoy bailando
E070,70,Oración,S,Noqaykuqa warmikunan kayku,Nosotras somos mujeres
E071,71,Oración,S,Qan chocolatita munanki,Tú quieres chocolate
E072,72,Oración,S,Noqayku wasiykita rishayku,Nosotros  estamos yendo a tu casa.
E073,73,Oración,S,Noqa allinta runa simita rimani,Yo hablo bien quechua.
E074,74,Oración,S,Kunanqa p'unchawniykin,Hoy es tu dia!
E075,75,Oración,S,Hamuqtinqa tususunchismi,Si viene bailaremos
E076,76,Oración,S,Kay sumaq llaqtapi tiyayku,Vivimos en este hermoso pueblo.
E077,77,Oración,S,Mamanchiskunaqa anchata munakuwanchis,Nuestras mamás nos quieren mucho
E078,78,Oración,S,Noqa qoyllurta rikuni,Veo una estrella 
E079,79,Oración,S,"Maria, hawas hank'ata ruway","Maria, haz tostado de habas"
E080,80,Oración,S,Wata hunt'aytan  tususunchis,"Cumpliendo el año, bailaremos!"
E081,81,Oración,S,Mamaykita much'aykuy,"A tu mamá, dale beso "
E082,82,Oración,S,"Qanrí, ¿Maymanta hamushanki?",Y tú ¿De dónde vienes?
E083,83,Oración,S,"¡Hakuchis, mink´arikusqayki chuwipi pukllayta!"," ¡Vamos, te invito a jugar canicas!
"
E084,84,Oración,S,Paraqtinqa ama hamunkichu,"Si llueve, ¡no vengas!"
E085,85,Oración,S,Ñawpaq runakunaqa qocha unupis qhawakuranku,Dicen que antiguamente las personas utilizaban el agua de las lagunas como espejos
E086,86,Oración,S,Paqarinmi siwarataqa rutusunchis,Mañana haremos segar la cebada
E087,87,Oración,S,Tarpuy killapaqñan hamusaq,Vendré ya para la época del sembrío
E088,88,Oración,S,Qayra michiqa ch’umpi uqi,El gato montés es de color café plomizo
E089,89,Oración,S,Chay yuraq millwataqa pukamanmi tullpusaq,Esa lana blanca voy a teñirla a rojo
E090,90,Oración,S,Allin p'unchay kachun yachachiq,Que tengas buen dia profesor
E091,91,Oración,S,Llank'ayniymantan rimariyta munani,Quiero explicar nuestro trabajo
E092,92,Oración,S,Kunanri ¿Maytataq risaq?,Y ahora ¿adónde iré?
E093,93,Oración,S,Ninkun huk qella waynatan usa mikhurapusqa,Cuentan que a un joven ocioso se lo comieron los piojos.
E094,94,Oración,S,Qhopu runakunataqa llullakusqankuna q'epinmi ninku.,A las personas jorobadas les dicen que cargan sus mentiras.
E095,95,Oración,S,"Taytay, yachachiqmi kay qhelqasqa raphichata apachimusunki","¡Papá!, mi profesora te envió este papelito escrito."
E096,96,Oración,S,Llink'i hallp´aqa resisqa tarinakunallapin kan,La arcilla plástica solamente se encuentra en lugares conocidos
E097,97,Oración,S,Nishutan uchuta mikhurusqa chaymi wiksa ruphariywan waqashan,Había comido mucho ají por eso ahora está llorando con ardor de estómago.
E098,98,Oración,S,Kay qowi k´ankaqa mishk'illañan kashan,Este asado de cuy está muy agradable.
E099,99,Oración,S,Haqay alqota qhaway atoqpa uha sipisqantan mikhurapushan,Vé a aquel perro͗ se está comiendo la oveja que mató el zorro.
E100,100,Oración,S,P'itaypiqa llalliykin,Te  gané en la carrera
E101,101,Oración,S,Sara tarpuymanta yachaqta tapusunchis,Entrevistemos al sabio sobre el sembrío de la papa
E102,102,Oración,S,Runa sipiqtan tariramuyku,Hemos encontrado al asesino
E103,103,Oración,S,Payqa cheqaqtan niqa,Ella le va a decir la verdad
E104,104,Oración,S,Vacunakunaqa onqoymantan hark'awanchis,Las vacunas nos protegen de las enĨermedades.
E105,105,Oración,S,Inti raymi p’unchawqa ishkay chunka tawayuq inti raymi killatan raymichakun,Dicen que la fiesta del Sol se festejaba el día 2ϭ de junio.
