ID,N°,Tipo,T,Quechua ,Traducción (español)
A001,1,Palabra,W,Wañuchiq,Asesino
A002,2,Palabra,W,Maqaq,Agresor
A003,3,Palabra,W,Machaq,Borracho
A004,4,Palabra,W,Ch’aqwa,Bulla
A005,5,Palabra,W,Huchasapa,Culpable
A006,6,Palabra,W,Suwa,Ladrón
A007,7,Palabra,W,Ñak’arichiq,Torturador
A008,8,Palabra,W,Huchachaq,Acusación
A009,9,Palabra,W,Unchuchuku,Comadreja
A010,10,Palabra,W,Asna,Olor Fétido
A011,11,Palabra,W,Payllapaq munaq,Envidia
A012,12,Palabra,W,Hallmu,Romo
A013,13,Palabra,W,Hamak’u,Garrapata
A014,14,Palabra,W,Phiña,Amargo
A015,15,Palabra,W,Yuraq,Blanco
A016,16,Palabra,W,K'uchu,Rincon
A017,17,Palabra,W,Sach'a,Árbol
A018,18,Palabra,W,Maway,Primeras Papas
A019,19,Palabra,W,Qasa,Helada
A020,20,Palabra,W,Raymi,Fiesta
A021,21,Palabra,W,Raphi,Hoja
A022,22,Palabra,W,Respetuwan,Respeto
A023,23,Palabra,W,Sasachaykuna,Problemas
A024,24,Palabra,W,Watuchi,Adivinanza
A025,25,Palabra,W,Willakuy,Cuento
A026,26,Palabra,W,Mana tukukuq pampa,Desierto
A027,27,Palabra,W,Kawsaynin,Conducta
A028,28,Palabra,W,Pachatupu,Geometría
A029,29,Palabra,W,Ch'uma,Desabrido
A030,30,Palabra,W,P'oshqo,Salado
A031,31,Palabra,W,Haya,Agrio
A032,32,Palabra,W,Mana kachiyuq,Sin sal
A033,33,Palabra,W,Qhelli,Sucio / Impuro
A034,34,Palabra,W,Khaska,Áspero
A035,35,Palabra,W,K’awchi,Puntiagudo
A036,36,Palabra,W,Llasa,Pesante
A037,37,Palabra,W,Qhopo,Motoso
A038,38,Palabra,W,Sarpha,Escama
A039,39,Palabra,W,Paray,Llover
A040,40,Palabra,W,Lloqsiy,Salir
A041,41,Palabra,W,Killachaw,Lunes
A042,42,Palabra,W,Atichaw,Martes
A043,43,Oración,S,Manan michi aychataqa mikhuykuchu,No comemos carne de gato
A044,44,Oración,S,Paymi lampayta hap'ishan,Él tiene mi lampa
A045,45,Oración,S,Ama k'uychita qawaychu,No mires el arco iris
A046,46,Oración,S,Kay llaqtamanta kani,Soy de este pueblo
A047,47,Oración,S,Wasita qhaway,Mira la casa
A048,48,Oración,S,Ama qhelli makiykiwan mikhuychu,No comas con tus manos sucias
