ID,N°,Tipo,T,Quechua ,Traducción (español)
H001,1,Palabra,W,Yana,Enamorado (a)
H002,2,Palabra,W,Tayta,Padre
H003,3,Palabra,W,Kaqniyuq,Adinerado
H004,4,Palabra,W,Alaqha,Adorno
H005,5,Palabra,W,K'anchayay,Brillar
H006,6,Palabra,W,alqo/allqo,Perro
H007,7,Palabra,W,Tintin,Tumbo
H008,8,Palabra,W,Ayllu,Familia
H009,9,Palabra,W,Ch’ampa,Césped
H010,10,Palabra,W,Harawi,Poesía
H011,11,Palabra,W,Kusisqa,Feliz
H012,12,Palabra,W,Haylli,Himno
H013,13,Palabra,W,Illa,Amuleto
H014,14,Palabra,W,Kallpa,Fuerza
H015,15,Palabra,W,Aqha,Chicha
H016,16,Palabra,W,Awki,Hombre de mayor edad de una comunidad (anciano)
H017,17,Palabra,W,Qatiy,Continúa! Sigue!
H018,18,Palabra,W,Qheshwa runa,Quechuas
H019,19,Palabra,W,Raymi,Fiesta
H020,20,Palabra,W,Raphi,Hoja
H021,21,Palabra,W,Pachaq chikusqankuna,Señas de la naturaleza
H022,22,Palabra,W,Taki,Canción
H023,23,Palabra,W,Seq'e,Dibujo
H024,24,Palabra,W,Tarpuy,Siembra
H025,25,Palabra,W,Ukyay,Beber
H026,26,Palabra,W,Hamaw t´a,Sabio
H027,27,Palabra,W,Unu,Agua
H028,28,Palabra,W,Rayqh a,Riachuelo
H029,29,Palabra,W,Sach'a,Árbol
H030,30,Palabra,W,Kusa,Magnífico
H031,31,Palabra,W,Mishk'i,Dulce / Agradable
H032,32,Palabra,W,Llamp’u,Suave
H033,33,Palabra,W,Pukllay,Jugar
H034,34,Palabra,W,Yachachiy,Enseñar
H035,35,Palabra,W,T’ikariy,Florecer / Prosperar
H036,36,Palabra,W,T'aqllay,Aplaudir
H037,37,Palabra,W,Ruruy,Producir
H038,38,Palabra,W,Ch’uya,"Limpio, perfecto"
H039,39,Palabra,W,Llank’aq-masi,Compañero de trabajo
H040,40,Palabra,W,Llaphlla,Laminado
H041,41,Palabra,W,Q’ello,Amarillo
H042,42,Palabra,W,P’aqo,Rubio
H043,43,Oración,S,Llapanku aynipi yanapanakuspa llank'aranku,Todos se ayudaban trabajando en Ayni
H044,44,Oración,S,Qosqopi wakin runakunan sumaq wasikunata qespichiranku,Algunos personajes cusqueños construyeron hermosas casonas
H045,45,Oración,S,Chayaramuqtiykin kusisqa kashani,Estoy feliz porque llegaste
H046,46,Oración,S,Sumaqmi ñawiyki,Tus ojos son bonitos
H047,47,Oración,S,Kay llaqtapipunin tiyasaq,Siempre viviré en este pueblo
H048,48,Oración,S,Kutiramusaqña,Ya vuelvo
H049,49,Oración,S,Aychanmi mishk'illaña,Su carne es agradable
H050,50,Oración,S,Layomantan hamushani,Estoy viniendo de Layo
H051,51,Oración,S,T’ika wiñashan,La flor está creciendo
H052,52,Oración,S,Qanqa sumaq runa kanki,Tú eres buena gente
H053,53,Oración,S,Ñawinchaytan paqarin yachachisqayki,Mañana te enseño a leer
H054,54,Oración,S,Pedron llank’ashan,Pedro está trabajando
H055,55,Oración,S,Pedrowan Juanwanmi llaqtata rinku,Pedro y Juan se fueron a la ciudad
H056,56,Oración,S,Wawaqa wiñashanmi,El niño va creciendo
