ID,N°,Tipo,T,Quechua ,Traducción (español)
N001,1,Palabra,W,Runa sipiq,Asesino
N002,2,Palabra,W,Raphi,Hoja
N003,3,Palabra,W,Ayllu,Familia
N004,4,Palabra,W,Siñaskuna,Señas de La naturaleza
N005,5,Palabra,W,Respetuwan,Respeto
N006,6,Palabra,W,Hamaw t´a,Sabio
N007,7,Palabra,W,Wishlla,Cucharón
N008,8,Palabra,W,Theqtichina,Sartén
N009,9,Palabra,W,Ninri,Oreja
N010,10,Palabra,W,Unu,Agua
N011,11,Palabra,W,Qore,Oro
N012,12,Palabra,W,Kallpa,Fuerza
N013,13,Palabra,W,Khaska,Áspero
N014,14,Palabra,W,Paray,Llover
N015,15,Palabra,W,Wanay,Escarmentar
N016,16,Palabra,W,T’eqway,Pelar
N017,17,Palabra,W,Teqtichiy,Freír
N018,18,Palabra,W,Tarpuy mit´a,Primavera
N019,19,Palabra,W,Chakmay,Preparado de tierra para la siembra
N020,20,Palabra,W,Laq'apakuy,Tropezar
N021,21,Palabra,W,Yana,Negro
N022,22,Palabra,W,Tuku,Búho
N023,23,Palabra,W,Urmay,Caer
N024,24,Palabra,W,Ñak´ariy,"Sufrir Necesidades, desperdiciarse"
N025,25,Palabra,W,Yawar,Sangre
N026,26,Palabra,W,Qheshwa runa,Quechuas
N027,27,Palabra,W,Llasa,Pesante
N028,28,Palabra,W,Chakachikuy,"Atorarse, Ahogarse"
N029,29,Palabra,W,Huchasapa,Culpable
N030,30,Palabra,W,Aqha,Chicha
N031,31,Palabra,W,Maway,Primeras Papas
N032,32,Palabra,W,Qatikachay,Cacería
N033,33,Palabra,W,Taki,Canción
N034,34,Palabra,W,Rikuq,Testigo
N035,35,Palabra,W,Puka,Rojo
N036,36,Palabra,W,Kuchuna,Cuchillo
N037,37,Palabra,W,Harawi,Poesía
N038,38,Palabra,W,Q éwi,Chueco
N039,39,Palabra,W,T´oqo,Hoyo
N040,40,Palabra,W,Huch´uy,Pequeño
N041,41,Palabra,W,Tutantin,Toda La Noche
N042,42,Palabra,W,Uywanakuy,Crianza mutua
N043,43,Oración,S,Mikhuchinaypaqmi mañakuwaran,Me pidió que le diera de comer
N044,44,Oración,S,Qan killata rikushanki,Tú estás viendo la luna
N045,45,Oración,S,Hatun p´uyñukunan kashanman,Puede haber tinajas grandes
N046,46,Oración,S,Kay uywaqa mana ashka millmayuqmi,Este animal tiene poca lana
N047,47,Oración,S,Paqarinmi mamayqa ponchu awayta tukunqa,Mi mamá mañana terminará de tejer el poncho
N048,48,Oración,S,Llusk’a llusk’allaña mayu,Es muy rebaloso el rio
N049,49,Oración,S,Sarata t'ipispaqa markapin waqaychana,Luego de despancar el maóz se gurda en la ramada
N050,50,Oración,S,K'aspimanta ñaqch'aqa ruwakuyta atikunmanmi,Pueden fabricarse peines de madera
N051,51,Oración,S,Payqa allin runan,Él es un buen hombre
N052,52,Oración,S,Kay saramanta apiqa pipullañan kashan,Esta mazamorra de maíz está muy espesa.
N053,53,Oración,S,Yunka runakunaqa charapa aychamanta mikhuykunata llanunku,La gente de la selva prepara platos de carne de la charapa
N054,54,Oración,S,Churakun huk punchuwan,Se puso un poncho
N055,55,Oración,S,Kaqniyuq runakunaqa mana kaqniyuqkunatan saruchakuranku,Los adinerados siempre humillaron a los pobres.
N056,56,Oración,S,"Qolqe waqaychanapaqqa, rantisqanchiskunata allinta qhawana.","Para tener ahorros, debemos equilibrar nuestro presupuesto."
N057,57,Oración,S,May hawapipas rumiqa kallanpuni,En cualquier lugar siempre hay piedras
N058,58,Oración,S,Chay tayta hinaqa manan hukqa kanchu,Como aquel padre no hay otro
N059,59,Oración,S,Qhillqana raphita mamaywan rantichikusaq.,Me haré comprar cuadernos con mi mamá.
N060,60,Oración,S,Waqayuspan ripun,Se fué llorando
N061,61,Oración,S,Manan allin musqhoymi kayku noqaykuwan  manan imatapas ruwayta atinkichu.,Somos tu peor pesadilla y no sabes qué hacer con nosotros.
N062,62,Oración,S,Paywanmi qhatuna wasipi tuparani,Me encontré con él en el mercado
N063,63,Oración,S,Chay k’anallapi uchu kashan,En esa tostadora está el ají.
N064,64,Oración,S,Raqra mankamantaqa sut'u sut'upin  leche tukurakapun,De la olla rajada gota a gota se ha terminado la leche.
N065,65,Oración,S,Kullkuqa sach’a patakunamanta munayta takimun,La paloma torcaz canta melodiosamente desde los árboles
N066,66,Oración,S,Chayamunmi,Me consta que llegó
N067,67,Oración,S,Aman kutimunaykama puñunkichu,No vas a dormir hasta que regrese
N068,68,Oración,S,K'aytuqa nishu wata watallañan kashan,El hilo está lleno de nudos
