ID,N°,Tipo,T,Quechua ,Traducción (español)
F001,1,Palabra,W,Kuchuna,Cuchillo
F002,2,Palabra,W,Huk’ucha,Ratón
F003,3,Palabra,W,Chinkakuq,Fugitivo
F004,4,Palabra,W,Muchuy,Miseria
F005,5,Palabra,W,Yawarchasqa,Ensangrentado
F006,6,Palabra,W,K’irisqa,Herido
F007,7,Palabra,W,Kanasqa,Quemado
F008,8,Palabra,W,Huchasqa,Sentencia
F009,9,Palabra,W,Amaru,Serpiente
F010,10,Palabra,W,Añas,Zorrino
F011,11,Palabra,W,Apasanka,Tarántula
F012,12,Palabra,W,Siphiyay,Penumbra
F013,13,Palabra,W,Chhullunku,Escarcha
F014,14,Palabra,W,Ch'oque,Lechuza
F015,15,Palabra,W,Apu,Cerro sagrado
F016,16,Palabra,W,Chakata,Cruz
F017,17,Palabra,W,Waka,Vaca
F018,18,Palabra,W,Michiq,Pastor
F019,19,Palabra,W,Qasa,Helada
F020,20,Palabra,W,Sasachaykuna,Problemas
F021,21,Palabra,W,Ñawrayupa,Matematica
F022,22,Palabra,W,Onqoykuna,Enfermedades
F023,23,Palabra,W,Warmiyuq,Casado
F024,24,Palabra,W,Suwa,Ladron
F025,25,Palabra,W,Aya,Cadaver
F026,26,Palabra,W,Wañuchinapaq hampi,Veneno
F027,27,Palabra,W,Runa sipiq,Asesino
F028,28,Palabra,W,Qolqe,Dinero
F029,29,Palabra,W,Chakachikuy,"Atorarse, Ahogarse"
F030,30,Palabra,W,Hucha,Pecado
F031,31,Palabra,W,Chuchu,duro
F032,32,Palabra,W,Wañuy,Morir
F033,33,Palabra,W,Yawar,Sangre
F034,34,Palabra,W,Chhapchiy,Sacudir
F035,35,Palabra,W,Ashkha,Harto
F036,36,Palabra,W,Khatatatay,Tiembla
F037,37,Palabra,W,Khishka,Espina
F038,38,Palabra,W,Aqo-Aqo,Arenal
F039,39,Palabra,W,K'uchunay,Arrinconar
F040,40,Palabra,W,T’oqona,"Perforador, Alizna"
F041,41,Palabra,W,Chakitaklla,Chaquitaclla
F042,42,Palabra,W,Wirayay,Engordar
F043,43,Oración,S,Chay runa karunchakushan,Ese hombre se está alejando
F044,44,Oración,S,Kachamuwaran willanaypaq,Me envió para avisarle
F045,45,Oración,S,Wasiymanta lloqsimurani,Salí de mi casa
F046,46,Oración,S,Mamayki waqyamushasunki,Tú mamá te está llamando
F047,47,Oración,S,Kukuchikuna runakunata manchachin,Los fantasmas asustan a la gente
F048,48,Oración,S,Ama maqawaychu,No me pegues
F049,49,Oración,S,Taytaykimansi willanki,Dice que avises a tu papá
F050,50,Oración,S,Pablopiwanmi hamusqa,Había venido con Pablo
F051,51,Oración,S,Qanpas hamunaykin,Tú también debes de venir
F052,52,Oración,S,Institutopi yachaqaqkunaqa tocaspan takinku,Los alumnos del Instituto cantan tocando
F053,53,Oración,S,Maqaytan munawanchis,Nos quieren pegar
F054,54,Oración,S,Nishu phuyusqa kashan,Está muy nublado
F055,55,Oración,S,Ashkha tullukunata mach'aypi rikurani,Vi muchos huesos en una cueva
F056,56,Oración,S,Mana uyariykichu,No te escucho
F057,57,Oración,S,Chiri wayra wayramushan,Un viento frío está soplando
F058,58,Oración,S,Qayna p´unchaw  chayamuran,Ayer llegó
F059,59,Oración,S,Mana chay runata reqsinichu,No reconozco a ese hombre
F060,60,Oración,S,Pay ashkha qolqeyuq,Él tiene mucho dinero
F061,61,Oración,S,Paywanmi qhatuna wasipi tuparani,Me encontré con él en el mercado
F062,62,Oración,S,Michi q'onchalawpi puñushan,El gato está durmiendo al lado del fogón
F063,63,Oración,S,Paykuna qhawaranku,Ellas miraron
F064,64,Oración,S,Puñuq masiyki wañurapun,Con quien duermes se ha muerto
F065,65,Oración,S,"Pedro, chay runata qhaway","Pedro, mira esa persona"
F066,66,Oración,S,Paqarinmi k´ita qowi hap'iq risunchis,Mañana iremos a cazar cuyes silvestres
F067,67,Oración,S,Uywakunataqa warak´awanmi michina,El ganado siempre se pastorea utilizando la honda
F068,68,Oración,S,Mana allinta samaspaqa apurayllan wañurapunchisman,Si no respiramos aire podemos morir en menos de un minuto.
F069,69,Oración,S,Kawallupi sillakuqtiymi chakaykuna susunkharapun.,Cuando cabalgo se me adormecen las piernas.
F070,70,Oración,S,Chaka tulluymi nanawan͘,Me duele el ilşaco.
F071,71,Oración,S,Raqra mankamantaqa sut'u sut'upin  leche tukurakapun,De la olla rajada gota a gota se ha terminado la leche.
F072,72,Oración,S,Paqarinmi chay mawk'a wasita thuñichisun,Mañana derribaremos esa casa vieja.
F073,73,Oración,S,"Huk k'amikuymi kan ""toqro uma""","Hay un insulto que dice “cabeza de calabaza"""
F074,74,Oración,S,May hawapipas rumiqa kallanpuni.,En cualquier lugar siempre hay piedras.
F075,75,Oración,S,Sasachakuypin kashani,Tengo un problema
F076,76,Oración,S,Qanqa wañuy patanpin kashanki,Usted está en peligro de muerte
F077,77,Oración,S,Llapayku manchakuyku,Todos le tenemos miedo
F078,78,Oración,S,Ayatan tariruyku,Encontramos un cadáver
F079,79,Oración,S,Kayllanpin yawar kashan,Hay sangre cerca
F080,80,Oración,S,Kinsamantan suwaruwanku,Me asaltaron entre tres.
F081,81,Oración,S,Suwaqa kuchunantinmi kasqa,El ladrón tenía un cuchillo
F082,82,Oración,S,Alqoqa waqtawanmi chakarachikusqa,El perro se había atorado con una costilla
F083,83,Oración,S,K'iriyki kaqmanta kicharirukun,Mi herida volvió a abrirse
F084,84,Oración,S,Uña alqoypa mamanqa wañurapunmi,La madre de mi perrito se murió.
F085,85,Oración,S,"K'uychichay p'unchawtaqa hamunki, qonqaruwaqtaq","El día sábado tienes que venir, no vayas a olvidarte."
F086,86,Oración,S,Akatanqaqa tarpuy wichaypin rikhurimun,El escarabajo reaparece abunda en épocas de sembrío.
F087,87,Oración,S,"Watukuq runatataq allqu hap’irunman, ¡Amachay!","Cuidado que el perro muerda al visitante, ¡defiéndelo!"
F088,88,Oración,S,¡Wasiyta nina ruphashan yanapawaychis!,"¡ayudenme, mi casa se esta encendiando!"
F089,89,Oración,S,Usqulluqa tutan wasikunata wallpa suwakuq rin,El gato montés va de noche a las casas a robar gallinas.
F090,90,Oración,S,"Wawatataq chirirunman, llikllawan p´istuy","Pueda ser que este niño se resfríe, ¡envuélvelo con la manta!"
F091,91,Oración,S,Maqt’a taripaptinsi p’asñaqa rumiwan ch’aqikamun,La muchacha empezó a apedrear al mozo en cuanto lo alcanzó
F092,92,Oración,S,Chiri hawas mikhuyqa ch’unchullninchista khipuchin,Las comidas frías de habas producen oclusión intestinal
F093,93,Oración,S,"Sinchita ch’akirin, awkikunatach ari phiñachinku","Hay mucha sequía, seguramente han ofendido a los espíritus de los cerros"
F094,94,Oración,S,"Allinta chiwchita qhawaychis, ankataq aparunman",¡Cuíden bien a los pollitos! No vaya a llevárselos el águila!
F095,95,Oración,S,"Hanaq pachaqa wichaypi, nina rawraqtaq uraypi",El cielo está arriba y el “inĮerno” está abajo
F096,96,Oración,S,T'ipanawan llikllaykita allinta hap'ichiy,Asegura tu mantita con el prendedor
F097,97,Oración,S,Thoqayniymi haya ima llakichá  hap'iwanqa,Tengo la saliva amarga͗ qué preocupaciones tendré
F098,98,Oración,S,Wawaqa ruphaypi puñurusqa kunanqa ruphapakuycha hap'irunqa,"La niña se había dormido en el sol, y ahora tiene una alta Įebre"
F099,99,Oración,S,Mana hampisqa k’irinchisqa qhellimanta q’eyachan,En una herida sin curar y con suciedad seguro ha de formarse pus
F100,100,Oración,S,Ch'isi tutan yachay wasipa qhawanankunata p'akirusqaku,Anoche habían roto los vidrios de la institución educativa
F101,101,Oración,S,Ninkun huk qella maqt'atas usa tukurapusqa,Cuentan que a un joven ocioso se lo comieron los piojos
F102,102,Oración,S,¡Alqoykita qatiy! runatataq kanirunman,¡Aleja tu perro! No vaya a ser que muerda a la gente
F103,103,Oración,S,Kiha churaqmi hamuni,He venido para poner una denuncia /queja
F104,104,Oración,S,Wallawan rimayta munani,Deseo hablar con el Policía.
F105,105,Oración,S,Wawaqa hamp’atu hinaraqmi urmaykamun,El bebé se cayó como un sapo.
F106,106,Oración,S,Leqleqaqa atoqta rikuspas anchata waqan,Dicen que el ave centinela grita cuando ve al zorro.
F107,107,Oración,S,Huklawkunapiqa wakakunaqa lachu mikhusqa qochaman haykunku,En algunos lugares las vacas entran a las lagunas a comer llacho.
F108,108,Oración,S,Wik´uñaqa alqotas p'itaspa llallin,La vicuña le gana en correr al perro.
F109,109,Oración,S,Q'ala chakillan rumi ruminta puriyta manchakuni,Siento miedo de caminar descalzo por una vía pedregoza.
F110,110,Oración,S,Chay yawarniyki wañusqaqa chika chikallanmantan chinkapunqa,Ese tu coágulo de sangre desaparecerá poco a poco.
F111,111,Oración,S,¡Imacha chay wasiqa!,¡Qué será esa habitación!
F112,112,Oración,S,"¡Imatataq millayta ch’aqwanki, manachu runatapas manchakunki!",¡Qué feo discutes! ¡No tienes ni miedo a la gente!
F113,113,Oración,S,¿Hak´ataq katitu AC tupun?,¿Cuánto mide el cateto AC?
F114,114,Oración,S,Ch’usiq qapariptinqa ima llakipas kallanpunim,"Si ulula la lechuza, es señal de mal augurio"
F115,115,Oración,S,Mana waqaychakuspalla pukllaqtinchisqa urmayusunmanmi,"Si jugamos sin cuidado, podemos caernos"
F116,116,Oración,S,Kay pachapiqa tukuy imapas kuyunmi,"En este mundo, todo se mueve"
F117,117,Oración,S,Manan allinchu kanman tutakuna puriyqa,No es aconsejable caminar en las noches oscuras
F118,118,Oración,S,Taytaymi makiyman huk challwata churaykamun,Mi padre puso un pez en mis manos
F119,119,Oración,S,Wakin t'oqokunaqa nishu ukhun,Algunas cavernas son muy profundas
F120,120,Oración,S,Warmakunaqa tutayaypi puriytan anchata manchakunku,Los niños tienen mucho miedo de caminar en la oscuridad
F121,121,Oración,S,Orqo patakunaqa phuyusqallapunin kashan,La cima de los cerros casi siempre está cubierta de neblina
F122,122,Oración,S,Tarukaqa ñawin kichasqallan puñun,El venado duerme con los ojos abiertos
F123,123,Oración,S,Qespiqa chunkaman p'akisqan rikhurirun,El espejo apareció quebrado en diez pedazos
F124,124,Oración,S,Tukulla chay chaypi tuta puñun,Sólo el buho duerme por ahí
F125,125,Oración,S,Noqaykuqa hampi qorakunallawanmi hampikurayku,Nosotros nos curábamos solamente con hierbas
F126,126,Oración,S,Llapallankun llaqtaman rishanku,Todos están yendo al pueblo
F127,127,Oración,S,Chay erqekunaqa qaraywa hinan kumparayasharanku,Esos dos niños estaban echados como lagartos
F128,128,Oración,S,Wayra muyuqa manan khaynaqa kay llaqtapiqa kanchu,El viento remolino no es común en estos pueblos
F129,129,Oración,S,Yaqa huk killañan onqoywan kashani,Hace ya más de un mes que estoy enfermo
F130,130,Oración,S,Uturunkuqa sach’akunamanpas siqanmi,El jaguar trepa los árboles
F131,131,Oración,S,Nina rawrayqa ukhu pachapin,El “infierno” está abajo
F132,132,Oración,S,Wakamayuqa runa hinan qatipakuspa rimarin,El papagayo imita hablar casi como otras personas
F133,133,Oración,S,Runaqa wamp’upi huk llaqtamanta wak llaqtaman rin,La gente se traslada de un pueblo a otro en botes
F134,134,Oración,S,Kay uywaqa mana ashka millmayuqmi,Este animal tiene poca lana
F135,135,Oración,S,Camionqa runakunantinmi qaqaman pasaykun,El camión se cayó con sus pasajeros al río
F136,136,Oración,S,Wik’uñaqa Pacha Mamaq uywanmi,La vicuña es el ganado de la Madre Tierra
F137,137,Oración,S,Mamayqa makiypi t'ipi t'ipillan awayta yachachiwan,Mi madre me enseñó a tejer pelizcándome en las manos
F138,138,Oración,S,Kay llank'ayqa kikin yawarninchismi,Este es el trabajo de nuestra sangre
F139,139,Oración,S,Chayaqtiykuqa ñan pampapiña kashasqa,Cuando llegamos ya estaban en el piso.
F140,140,Oración,S,Runaqa anchatan mancharikun,El hombre se asustó demasiado.
F141,141,Oración,S,Alqoqa kanikuspan tuta runata muyurin,El perro rodea al ganado ladrando cada noche.
F142,142,Oración,S,Chay p'ukutaqa alqon llaqwasharan,El perro estaba lamiendo ese plato.
F143,143,Oración,S,Titi misiqa ch’umpi oqe.,El gato montés es de color café plomizo.
F144,144,Oración,S,Imapas mana allin yuyaymunasqaqa chinkaripullanmi,en cambio cualquier cosa sin fundamento se desvanece.
F145,145,Oración,S,Allin cimentasqa wasiqa manan urmaykunchu,Las casas con buena cimentación no se derrumban
F146,146,Oración,S,Hatun p´uyñukunan kashanman,Puede haber tinajas grandes
F147,147,Oración,S,Chay pomochapi hampitaqa aytirispan upyana,La medicina de ese pomito hay que tomarla agitándola.
F148,148,Oración,S,Alqo hamuqtinqa rumiwan p'ananki,Si viene el perro le arrojas con piedras.
F149,149,Oración,S,Chay suwa wallpaqa choqllotan t'oqpirusqa,Esa gallina ladrona había picoteado el choclo.
F150,150,Oración,S,Kay uraskamachu ch’achara umantin kanki,Hasta estas horas estás con el cabello desgreñado.
F151,151,Oración,S,¿Maypitaq tiyan chay ch’aska ñawi sipasri?,¿Dónde vive esa señorita de pestañas erizadas?
F152,152,Oración,S,Qoritaqa mayupi aqopin aytispan tarikun,El oro en polvo se consigue relavando la arena de los ríos.
F153,153,Oración,S,Tuyaykuytaqa kikillanmi wakaqa wasiman kutipun,Al anochecer el ganado de por sí retorna a la casa
F154,154,Oración,S,Sipasqa sapallansi ch’ukllanmanta chitanta qhawan.,Dicen que la muchacha sola velaba sus ovejas desde su choza.
F155,155,Oración,S,P’achapi ch’iyataqa t’impuchispan wañuchina.,Las liendres se matan hirviendo la ropa infestada.
