ID,N°,Tipo,T,Quechua ,Traducción (español)
T001,1,Palabra,W,K'irisqa,Herido
T002,2,Palabra,W,Wakcha,Huérfano
T003,3,Palabra,W,Llulla,Mentira
T004,4,Palabra,W,Wañusqa,Muerto
T005,5,Palabra,W,Mana kaqniyuq,Pobre
T006,6,Palabra,W,Machula,Anciano
T007,7,Palabra,W,Amaychura,Caquexia
T008,8,Palabra,W,K´amiy,Reprender
T009,9,Palabra,W,Chakata,Cruz
T010,10,Palabra,W,Chikchi,Granizo
T011,11,Palabra,W,Chukchu,Paludismo
T012,12,Palabra,W,Aquyraki,Infortunio
T013,13,Palabra,W,Tuta,Noche
T014,14,Palabra,W,Iphu,Llovizna
T015,15,Palabra,W,Mallki,Árbol
T016,16,Palabra,W,Maway,Primeras papas
T017,17,Palabra,W,Qasa,Helada
T018,18,Palabra,W,Rurukuna,Granos
T019,19,Palabra,W,Sasachaykuna,Problemas
T020,20,Palabra,W,Yawar,Sangre
T021,21,Palabra,W,Qarqusqa,Despreciado
T022,22,Palabra,W,Huchasapa,Culpable
T023,23,Palabra,W,Ruphasqa,Quemado
T024,24,Palabra,W,Sipikuq,Suicida
T025,25,Palabra,W,T’aqasqa,Separarse
T026,26,Palabra,W,Ñak’arichiy,Torturar
T027,27,Palabra,W,Maqay,Violencia física
T028,28,Palabra,W,Llamk’ay,Trabajo
T029,29,Palabra,W,Ñak'ariy,"Padecer, sufrir"
T030,30,Palabra,W,Onqoy,Enfermarse
T031,31,Palabra,W,P’itiy,"Arrancar, reventar"
T032,32,Palabra,W,Qhenchachay,Contaminar de mala suerte
T033,33,Palabra,W,Upallay,Enmudecer
T034,34,Palabra,W,Urmay,Caer
T035,35,Palabra,W,Ñak´ariy,"Sufrir Necesidades, desperdiciarse"
T036,36,Palabra,W,Utirayay,"Quedarse Rendido, inmovilizado"
T037,37,Palabra,W,Wanay,Escarmentar
T038,38,Palabra,W,Yukay,Engañar
T039,39,Palabra,W,Tukuy,"Dar Fin, rematar"
T040,40,Palabra,W,Thutayay,Apolillarse
T041,41,Palabra,W,Thantayay,"Envejecer, raer la ropa usándola"
T042,42,Palabra,W,Tanqay,Empujar
T043,43,Oración,S,Mana atinichu,No puedo
T044,44,Oración,S,Lamparay chinkaruwan,Se me perdió mi lampa
T045,45,Oración,S,"Mana haykunchu, nishu hatunmi",No entra porque es demasiado grande
T046,46,Oración,S,Kiruy nanawan,Me duele la muela
T047,47,Oración,S,Mana allinta ruwawan,Me hace mal
T048,48,Oración,S,Qanwanmi rimayta munani,Quiero hablar contigo
T049,49,Oración,S,Para chayashan,Está lloviendo
T050,50,Oración,S,Mamaysi wañukapusqa,Dice que mi madre murió
T051,51,Oración,S,Pelotata hayt’arani,Solía jugar fútbol
T052,52,Oración,S,Osqhayllan llaqtata rishani,Están yendo rápido al pueblo
T053,53,Oración,S,Khishka chaykiyta chhukuruwan,La espina pinchó mi pie
T054,54,Oración,S,Manan imapas mikhunapaq kanchu,No hay nada para comer
T055,55,Oración,S,Mikhuchinaypaqmi mañakuwaran,Me pidió que le diera de comer
T056,56,Oración,S,Nishutan chirimanta ñak'arini,Sufro mucho con el frío
T057,57,Oración,S,Mana mikhusqanmi tulluyarapun,Se enflaqueció por no comer
T058,58,Oración,S,Juan ashkha ususiyuq,Juan tiene muchas hijas
T059,59,Oración,S,Mana puriyta yachanchu,No sabe caminar
T060,60,Oración,S,Machula wañurun,El anciano falleció
T061,61,Oración,S,Kay t'antaqa nishuta ch´akirapusqa,Este pan se ha puesto muy duro
T062,62,Oración,S,Paymi maqawaran,Él me pegó
T063,63,Oración,S,Marion chhulliwan onqorapun,Mario se ha enfermado con la gripe
T064,64,Oración,S,Manan qhelqayta yachanichu,No sé escribir
T065,65,Oración,S,"Wira runaqa ashkhata mikhun, ichaqa p'itayta mana atinchu","Las personas gordas comen bastante, pero tienen dificultades para correr"
T066,66,Oración,S,Aman noqamanqa nishuta chinpamuwaychu,No te aproximes mucho a mí
T067,67,Oración,S,Imamanta llankipakushanki?,¿Por qué suspiras?
T068,68,Oración,S,"Mana paraqtinqa, hanaq pachapas anqasmanraqmi tukupun","Cuando no va a llover, hasta el cielo se pone de color azul."
T069,69,Oración,S,"Ima sasachakuypas atikullanmi, ichaqa wañuyllan mana atikunchu",Cualquier problema tiene solución menos la muerte.
T070,70,Oración,S,Omnibusmi runakunantin qaqaman qaqapaykun,Un bus con pasajeros se ha caído al barranco
T071,71,Oración,S,Huk camionmi warmita sarurapun,Un camión ha atropellado a una señora
T072,72,Oración,S,Karru apaqqa wañusqan kashan,El chofer está muerto
T073,73,Oración,S,Ishkaynin runan maqanarukun,Los dos hombres se pelearon
T074,74,Oración,S,Sisiqa parananta yachaspanmi mikhunanta huñun,La hormiga junta sus alimentos sabiendo la epoca de lluvia
T075,75,Oración,S,Tayta kurapas aqsuyuqmi kaq,Los sacerdotes usaban sotanas
T076,76,Oración,S,Chaka tulluymi nanawan,Me duele el ilíaco
T077,77,Oración,S,Wawaqa mancharikuspa chawpi mayupi waqayta qallarin,La niña asustada empezó a llorar en medio del río
T078,78,Oración,S,Chiqnikuyqa manapunin allinchu,La envidia nunca es buena
T079,79,Oración,S,Hamak’uqa uywakunaq yawarninta ch’unqaspan tulluyachin,La garrapata enflaquese a los animales chupándoles la sangre
T080,80,Oración,S,Hamp’atutaqa manan wañuchinachu,No hay que matar a los sapos
T081,81,Oración,S,Michiqa wawqeypa makintan kanirparin,El gato mordió la mano de mi hermano
T082,82,Oración,S,Kawsayniyqa manan kawsaychu,Mi vida no es vida
T083,83,Oración,S,Kusi kusichaqa parananpaqmi uraykamun,La arañita desciende por su hilo señalando que lloverá
T084,84,Oración,S,Khallwakunaqa parananpaqmi phawaykachan,La aparición de las golondrinas anuncia la presencia de lluvias
T085,85,Oración,S,Ch’unchull khipuwanmi chay runaqa wañuran,Esa persona murió con oclusión intestinal
T086,86,Oración,S,Phuyu kuruqa p'achayta mikhurapusqa,La polilla había carcomido mi ropa de lana
T087,87,Oración,S,Washwaqa manan unutaqa manchakunchu,El pato no tiene miedo a las aguas
T088,88,Oración,S,Mach'aqllaña runakunapaqa chawpi kawsayninmi tukukapun,Las personas que se embriagan a menudo pierden parte de su vida
T089,89,Oración,S,Machu runaqa tawnayuqmi puriykachakunpas,El hombre anciano camina con bastón
T090,90,Oración,S,Chay alqochaypa mamanqa wañupunmi,La madre de mi perrito se murió
T091,91,Oración,S,Chay qochas huk runata hullp'urapusqa,Dicen que la laguna se tragó a esas personas
T092,92,Oración,S,Manan paqarinqa hamuyta atisaqchu,El día de mañana no podré venir
T093,93,Oración,S,Chirimantan chaki tulluykunan nanawan,Me duelen las articulaciones de los pies por el frío
T094,94,Oración,S,Mana kuchuyuq kasqaymi nishuta umay nanawan,Me duele la cabeza por estar sin sombrero en el sol
T095,95,Oración,S,Ruphaypi tarpusqa mallkichakunaqa osqhayllan ch´akirapun,Las plantitas transplantadas en pleno sol se marchitan muy rápidamente
T096,96,Oración,S,Michiqa huk'uchachatan k'umuykachachinraq,El gato humilló al ratón
T097,97,Oración,S,Manan mishk'i ruruyuq sach'akunaqa kanchu,No hay ningún árbol frutal
T098,98,Oración,S,Phiñasqa kaspaqa manan imatapas allintaqa ruwasunchu,"Si estamos enojados, nunca podemos hacer bien las cosas"
T099,99,Oración,S,Tayta Juanqa chaki tulluntan q'ewirukusqa,El señor Juan se había quebrado el hueso del pie
T100,100,Oración,S,Qara t’iqichuta t’aqllaspa lloq’e maki uña ruk’anayta q’ewirqukuni,"Al volear la pelota, me torcí el dedo meñique de la mano izquierda"
T101,101,Oración,S,Paqarinqa manan pukllaq riytaqa atisunmanchu,Mañana no podremos ir a jugar
T102,102,Oración,S,Juanqa manan khuyakuyta yachanchu,Juan no sabe amar
T103,103,Oración,S,Rikuwanki chayqa waqasaqmi,"Si me ves, lloraré"
T104,104,Oración,S,"Manan wawqey, nitaq panaypas kanchu",No tengo hermano ni hermana.
T105,105,Oración,S,Ichhu pichanaqa tukurakapunmi,La escoba de paja se ha terminado
T106,106,Oración,S,Apuraylla chay karu llaqtamanta kutimunki,Regresas rapido de ese puelo lejano
T107,107,Oración,S,Panchoqa mamantan llakichin,Pancho causa tristeza a su mamá
T108,108,Oración,S,Toqro umaykiqa manan imatapas yuyanchu,Tú cabeza hueca no se acuerda de nada
T109,109,Oración,S,Sikiypin pikiqa kaniruwaran,La pulga me picó en las posaderas
T110,110,Oración,S,Kaypi wasikunaqa munaychakunan,Las casas son muy bonitas en este lugar
T111,111,Oración,S,Alqolla llapan kisuta mikhurqakapusqa.,el perro se había comido todo el queso.
T112,112,Oración,S,Makiypi k’irichayqa ña k’illayashanña,La herida de mi mano ya está cicatrizando.
